prix,start time
577.77,2016-10-11 08:32:54
577.77,2016-10-04 10:19:27
579.9,2016-09-07 09:59:17
580.0,2016-10-12 15:24:35
580.0,2016-10-12 15:25:19
580.0,2016-10-12 15:23:48
586.99,2016-11-07 14:38:42
590.0,2016-11-04 11:06:58
599.0,2016-11-04 17:27:59
599.0,2016-11-07 17:01:56
599.0,2016-11-05 16:56:27
599.0,2016-11-07 17:01:46
599.99,2016-07-13 17:24:11
599.99,2016-03-11 17:55:31
599.99,2016-09-20 10:57:43
599.99,2016-10-17 21:52:15
610.0,2016-10-12 15:26:17
619.0,2016-09-27 13:46:35
619.0,2016-09-27 13:46:35
619.0,2016-09-27 13:46:35
619.0,2016-11-05 09:25:46
619.0,2016-09-27 13:46:35
619.0,2016-09-27 13:46:35
627.77,2016-09-27 15:32:02
630.0,2016-10-12 15:27:09
630.0,2016-10-12 15:28:37
630.0,2016-11-03 22:32:52
630.0,2016-10-12 15:27:49
640.0,2016-10-12 15:29:57
640.0,2016-10-12 15:29:19
646.95,2016-08-23 11:34:37
646.95,2016-08-23 11:32:17
647.0,2016-10-20 13:31:07
647.0,2016-10-20 13:26:53
649.0,2016-04-09 17:43:59
649.0,2015-10-22 15:56:07
663.58,2016-10-26 14:01:44
667.44,2016-10-26 14:01:47
667.77,2016-10-20 10:44:34
668.0,2016-11-06 15:03:33
669.0,2016-11-03 13:44:06
669.0,2016-10-29 16:32:53
669.0,2016-07-05 11:09:36
669.0,2016-07-05 11:09:36
669.0,2016-11-01 21:41:02
669.89,2016-11-01 19:22:24
669.89,2016-11-01 19:21:07
669.89,2016-04-09 00:42:00
670.0,2016-09-01 11:38:13
670.0,2015-10-28 20:21:09
673.69,2015-11-27 14:05:05
674.72,2016-03-08 09:22:51
686.01,2016-10-13 14:05:13
689.0,2016-09-14 15:39:49
693.38,2016-05-08 21:39:39
695.99,2016-10-18 16:16:47
695.99,2016-09-01 09:40:21
696.9,2016-06-29 06:02:17
696.9,2016-06-29 06:02:13
696.9,2016-07-27 08:43:06
699.0,2016-11-04 09:38:25
699.0,2016-11-04 09:38:29
699.0,2016-11-04 09:38:32
699.0,2016-11-04 09:38:21
699.0,2016-11-04 09:38:21
699.9,2016-03-23 10:11:46
699.9,2016-03-23 10:11:46
699.9,2016-03-23 10:11:46
699.9,2016-03-23 10:11:46
699.9,2016-03-23 10:11:46
699.99,2016-01-05 16:56:18
703.2,2016-05-08 21:39:41
704.43,2016-05-08 21:39:43
708.21,2016-02-29 20:13:25
724.85,2016-02-23 09:54:48
729.0,2016-07-06 13:46:44
730.71,2016-10-26 10:54:25
738.99,2016-10-26 20:06:03
741.0,2016-02-23 10:08:35
742.99,2016-10-26 20:05:58
754.99,2016-11-04 16:51:32
754.99,2016-11-04 16:51:27
755.0,2016-03-02 06:02:52
755.8,2016-11-07 11:59:25
755.8,2016-11-07 11:58:39
755.8,2016-11-07 11:59:24
762.0,2016-01-07 15:56:37
763.0,2016-01-07 15:56:44
766.0,2016-01-07 15:56:30
769.0,2016-01-14 16:59:10
769.99,2016-11-04 16:51:39
770.0,2016-08-17 09:41:48
779.95,2016-09-15 11:39:37
779.95,2016-07-20 17:21:17
779.95,2016-08-14 14:50:26
793.9,2016-11-07 11:58:41
795.95,2016-09-26 19:19:21
799.03,2016-09-13 11:00:52
801.34,2016-09-28 08:39:26
813.36,2016-03-22 01:02:26
814.59,2016-10-13 23:11:02
829.0,2016-07-05 19:49:22
844.68,2016-10-09 03:37:03
846.22,2016-10-27 12:14:23
846.22,2016-10-27 12:14:23
846.24,2016-10-08 14:37:58
846.73,2016-10-27 07:36:13
849.23,2016-10-27 07:36:17
865.9,2016-10-31 21:32:09
871.0,2016-10-11 20:58:44
872.0,2016-08-12 15:51:49
872.01,2016-09-05 12:51:19
873.0,2016-10-25 08:51:42
873.2,2016-10-31 21:27:13
873.5,2016-10-11 20:58:40
